dataset,model,run_id,f1,recall,accuracy
baseline,LogisticRegression,1,0.8258426966292135,0.9483870967741936,0.7268722466960352
baseline,LogisticRegression,2,0.8547008547008547,0.967741935483871,0.775330396475771
baseline,LogisticRegression,3,0.834733893557423,0.9612903225806452,0.7400881057268722
baseline,LogisticRegression,4,0.8365650969529086,0.9741935483870968,0.7400881057268722
baseline,LogisticRegression,5,0.830945558739255,0.935483870967742,0.7400881057268722
baseline,LogisticRegression,6,0.8383561643835616,0.9870967741935484,0.7400881057268722
baseline,LogisticRegression,7,0.834733893557423,0.9612903225806452,0.7400881057268722
baseline,LogisticRegression,8,0.8338028169014085,0.9548387096774194,0.7400881057268722
baseline,LogisticRegression,9,0.828169014084507,0.9483870967741936,0.7312775330396476
baseline,LogisticRegression,10,0.8338028169014085,0.9548387096774194,0.7400881057268722
baseline,KNN,1,0.8228571428571428,0.9290322580645162,0.7268722466960352
baseline,KNN,2,0.8411764705882353,0.9225806451612903,0.762114537444934
baseline,KNN,3,0.8295454545454546,0.9419354838709676,0.73568281938326
baseline,KNN,4,0.8465909090909091,0.9612903225806452,0.762114537444934
baseline,KNN,5,0.813953488372093,0.9032258064516128,0.7180616740088106
baseline,KNN,6,0.8507042253521127,0.9741935483870968,0.7665198237885462
baseline,KNN,7,0.830945558739255,0.935483870967742,0.7400881057268722
baseline,KNN,8,0.815028901734104,0.9096774193548388,0.7180616740088106
baseline,KNN,9,0.8252148997134671,0.9290322580645162,0.7312775330396476
baseline,KNN,10,0.8338192419825073,0.9225806451612903,0.748898678414097
baseline,RandomForest,1,0.8347826086956521,0.9290322580645162,0.748898678414097
baseline,RandomForest,2,0.8695652173913043,0.967741935483871,0.801762114537445
baseline,RandomForest,3,0.8498583569405099,0.967741935483871,0.7665198237885462
baseline,RandomForest,4,0.8418079096045198,0.9612903225806452,0.7533039647577092
baseline,RandomForest,5,0.8304093567251462,0.9161290322580644,0.7444933920704846
baseline,RandomForest,6,0.8289855072463768,0.9225806451612903,0.7400881057268722
baseline,RandomForest,7,0.8547008547008547,0.967741935483871,0.775330396475771
