mean_test_score,std_test_score,rank_test_score,C,class_weight,solver,dataset,model,run_id,metric,n_neighbors,weights,max_depth,min_samples_split,n_estimators
0.7319917763814182,0.01875905190721842,10,0.01,balanced,liblinear,baseline,LogisticRegression,1,,,,,,
0.7389127590079647,0.02265037860826576,9,0.01,balanced,lbfgs,baseline,LogisticRegression,1,,,,,,
0.8407367752273436,0.007313864076290161,1,0.01,,liblinear,baseline,LogisticRegression,1,,,,,,
0.8348342226909494,0.00929948630358376,8,0.01,,lbfgs,baseline,LogisticRegression,1,,,,,,
0.7253952716618717,0.015277952122373232,12,0.1,balanced,liblinear,baseline,LogisticRegression,1,,,,,,
0.726150834884228,0.014666349776942159,11,0.1,balanced,lbfgs,baseline,LogisticRegression,1,,,,,,
0.8387373556311873,0.00663827717795185,2,0.1,,liblinear,baseline,LogisticRegression,1,,,,,,
0.8380630788009705,0.006318488134131355,3,0.1,,lbfgs,baseline,LogisticRegression,1,,,,,,
0.7211573034201848,0.016356908418142656,13,1.0,balanced,liblinear,baseline,LogisticRegression,1,,,,,,
0.7211573034201848,0.016356908418142656,13,1.0,balanced,lbfgs,baseline,LogisticRegression,1,,,,,,
0.8377467854992338,0.006363169353355865,5,1.0,,liblinear,baseline,LogisticRegression,1,,,,,,
0.8379052597898846,0.007493867639178897,4,1.0,,lbfgs,baseline,LogisticRegression,1,,,,,,
0.7203618211590639,0.017273918832011164,16,10.0,balanced,liblinear,baseline,LogisticRegression,1,,,,,,
0.7211573034201848,0.016356908418142656,13,10.0,balanced,lbfgs,baseline,LogisticRegression,1,,,,,,
0.8377467854992338,0.006363169353355865,5,10.0,,liblinear,baseline,LogisticRegression,1,,,,,,
0.8377467854992338,0.006363169353355865,5,10.0,,lbfgs,baseline,LogisticRegression,1,,,,,,
0.7173784297128936,0.020083421185282557,10,0.01,balanced,liblinear,baseline,LogisticRegression,2,,,,,,
0.7249132803004528,0.01976793947909485,9,0.01,balanced,lbfgs,baseline,LogisticRegression,2,,,,,,
0.8326194921538063,0.006237368308726033,1,0.01,,liblinear,baseline,LogisticRegression,2,,,,,,
0.8265713682560047,0.007010675464567628,8,0.01,,lbfgs,baseline,LogisticRegression,2,,,,,,
