dataset,model,run_id,accuracy,precision,recall,f1,roc_auc
baseline,LogisticRegression,1,0.7312775330396476,0.735,0.9483870967741935,0.828169014084507,0.5961917562724015
baseline,LogisticRegression,2,0.775330396475771,0.7653061224489796,0.967741935483871,0.8547008547008547,0.7008064516129032
baseline,LogisticRegression,3,0.7400881057268722,0.7376237623762376,0.9612903225806452,0.834733893557423,0.6315412186379927
baseline,LogisticRegression,4,0.7400881057268722,0.7330097087378641,0.9741935483870968,0.8365650969529086,0.6258960573476703
baseline,LogisticRegression,5,0.7268722466960352,0.7384615384615385,0.9290322580645162,0.8228571428571428,0.6400537634408602
baseline,LogisticRegression,6,0.7444933920704846,0.7320574162679426,0.9870967741935484,0.8406593406593407,0.6112903225806451
baseline,LogisticRegression,7,0.7312775330396476,0.7326732673267327,0.9548387096774194,0.8291316526610645,0.6623655913978496
baseline,LogisticRegression,8,0.73568281938326,0.7386934673366834,0.9483870967741935,0.8305084745762712,0.5866487455197134
baseline,LogisticRegression,9,0.7268722466960352,0.7313432835820896,0.9483870967741935,0.8258426966292135,0.6201612903225806
baseline,LogisticRegression,10,0.73568281938326,0.736318407960199,0.9548387096774194,0.8314606741573034,0.6262544802867384
baseline,KNN,1,0.7180616740088106,0.7570621468926554,0.864516129032258,0.8072289156626506,0.6753136200716846
baseline,KNN,2,0.7268722466960352,0.7687861271676301,0.8580645161290322,0.8109756097560976,0.7083781362007168
baseline,KNN,3,0.73568281938326,0.7567567567567568,0.9032258064516129,0.8235294117647058,0.6616039426523298
baseline,KNN,4,0.7400881057268722,0.7553191489361702,0.9161290322580645,0.8279883381924198,0.6445340501792114
baseline,KNN,5,0.7136563876651982,0.7586206896551724,0.8516129032258064,0.8024316109422492,0.6776881720430108
baseline,KNN,6,0.7444933920704846,0.7593582887700535,0.9161290322580645,0.8304093567251462,0.6404569892473119
baseline,KNN,7,0.7444933920704846,0.7740112994350282,0.8838709677419355,0.8253012048192772,0.7137544802867384
baseline,KNN,8,0.7268722466960352,0.7627118644067796,0.8709677419354839,0.8132530120481928,0.678763440860215
baseline,KNN,9,0.7312775330396476,0.7554347826086957,0.896774193548387,0.8200589970501475,0.6525985663082438
baseline,KNN,10,0.73568281938326,0.7624309392265194,0.8903225806451613,0.8214285714285714,0.6872759856630825
baseline,RandomForest,1,0.7533039647577092,0.7591623036649214,0.9354838709677419,0.838150289017341,0.656989247311828
baseline,RandomForest,2,0.801762114537445,0.7894736842105263,0.967741935483871,0.8695652173913043,0.7384408602150538
baseline,RandomForest,3,0.7577092511013216,0.7551020408163265,0.9548387096774194,0.8433048433048433,0.6454301075268817
baseline,RandomForest,4,0.7533039647577092,0.7538461538461538,0.9483870967741935,0.84,0.6714605734767025
baseline,RandomForest,5,0.7444933920704846,0.7679558011049724,0.896774193548387,0.8273809523809523,0.7006272401433692
baseline,RandomForest,6,0.748898678414097,0.7606382978723404,0.9225806451612903,0.8338192419825073,0.6353494623655914
baseline,RandomForest,7,0.7665198237885462,0.765625,0.9483870967741935,0.8472622478386167,0.7107526881720431
