dataset,model,run_id,accuracy,precision,recall,f1,roc_auc,best_params
baseline,LogisticRegression,1,0.7268722466960352,0.7313432835820896,0.9483870967741935,0.8258426966292135,0.5939516129032258,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
baseline,LogisticRegression,2,0.775330396475771,0.7653061224489796,0.967741935483871,0.8547008547008547,0.703763440860215,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
baseline,LogisticRegression,3,0.7400881057268722,0.7376237623762376,0.9612903225806452,0.834733893557423,0.6373655913978495,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
baseline,LogisticRegression,4,0.7400881057268722,0.7330097087378641,0.9741935483870968,0.8365650969529086,0.635663082437276,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
baseline,LogisticRegression,5,0.7400881057268722,0.7474226804123711,0.9354838709677419,0.830945558739255,0.646326164874552,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
baseline,LogisticRegression,6,0.7400881057268722,0.7285714285714285,0.9870967741935484,0.8383561643835616,0.6154121863799282,"{'C': 0.01, 'class_weight': None, 'solver': 'lbfgs'}"
baseline,LogisticRegression,7,0.7400881057268722,0.7376237623762376,0.9612903225806452,0.834733893557423,0.6637992831541218,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
baseline,LogisticRegression,8,0.7400881057268722,0.74,0.9548387096774194,0.8338028169014085,0.58915770609319,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
baseline,LogisticRegression,9,0.7312775330396476,0.735,0.9483870967741935,0.828169014084507,0.6217741935483871,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
baseline,LogisticRegression,10,0.7400881057268722,0.74,0.9548387096774194,0.8338028169014085,0.6227598566308243,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
baseline,KNN,1,0.7268722466960352,0.7384615384615385,0.9290322580645162,0.8228571428571428,0.6995967741935484,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
